name,musicbrainz_artist_id,musicbrainz_mbid,spotify_id,performer_pre_normalized,first_top_20_hit_year,first_charting_song_year,last_charting_song_year,years_through_first_top_20_hit,#_of_charting_songs_through_first_top_20_hit,first_song_year,years_active_on_charts,first_charting_song_position,first_charting_song_duration,top_20_hit_song_#_wks_on_chart_any_position,genre_tags_musicbrainz,first_year_on_chart_songs,genre_tags_through_first_top_10_hit,major_genre_categories_through_first_top_10_hit,#_of_major_genre_categories_through_first_top_10_hit,musicbrainz_major_genre_categories,musicbrainz_#_of_genres,spotify_genres,spotify_major_genre_categories,combined_major_genre_categories,first_top_20_song_major_genres,first_top_20_song_duration_ms,first_top_20_song_acousticness,first_top_20_song_danceability,first_top_20_song_energy,first_top_20_song_instrumentalness,first_top_20_song_liveness,first_top_20_song_loudness,first_top_20_song_speechiness,first_top_20_song_tempo,first_top_20_song_valence,first_top_20_song_mode,first_top_20_song_explicit,degree_centrality_top20_rolling5,harmonic_closeness_centrality_top20_rolling5,betweenness_centrality_top20_rolling5,eigenvector_centrality_top20_rolling5,power_of_connected_artists_top20_rolling5,top_20_hitmaker
ty myers,2859519.0,4b37e8d8-af26-438b-9ec9-bd5c0d4c91d6,,Ty Myers,,2025.0,2025.0,,,2025.0,2025-2025,79,8,,,2025.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
ty segall,605105.0,07a17571-81fc-4cf8-a634-98f0d926d313,,Ty Segall,,,,,,,2014-2018,0,0,,"garage rock, psychedelic rock, garage punk, lo-fi, glam rock, noise rock, rock",,,,0,Rock,1,,,Rock,,,,,,,,,,,,,,,,,,,
tycho,81468.0,cbef45a9-7acb-4325-94c9-70081ac8d1b8,5oOhM2DFWab8XhSdQiITry,Tycho,,,,,,,2014-2019,0,0,,"downtempo, ambient, idm, chillwave, electronic, chillout, hip hop, instrumental, psychedelic",,,,0,"Easy Listening/Vocal, Electronic/Dance, Hip Hop/Rap, Rock",4,"['chillwave', 'downtempo', 'electronica', 'indietronica', 'intelligent dance music']",Electronic/Dance,"Easy Listening/Vocal, Electronic/Dance, Hip Hop/Rap, Rock",,,,,,,,,,,,,,,,,,,
tycoon,1886330.0,52999cda-484a-44eb-b762-0762bba9f46e,,Tycoon,,1979.0,1979.0,,,1979.0,1979-1979,26,13,,,1979.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
tye tribbett,440736.0,8e001bd1-ac61-4115-88da-3bab06b4d20a,,Tye Tribbett,,,,,,,2010-2013,0,0,,"urban contemporary gospel, gospel, contemporary christian, contemporary gospel, gospel, contemporary gospel",,,,0,Gospel/Christian/Religious,1,,,Gospel/Christian/Religious,,,,,,,,,,,,,,,,,,,
tye tribbett & g.a.,247986.0,d408db5f-4607-4465-8850-d8d46332feb7,,Tye Tribbett & G.A.,,,,,,,2006-2008,0,0,,"gospel, contemporary gospel",,,,0,Gospel/Christian/Religious,1,,,Gospel/Christian/Religious,,,,,,,,,,,,,,,,,,,
tyga,531656.0,ce09ea31-3d4a-4487-a797-e315175457a0,5LHRHt1k9lMyONurDHEdrp,Tyga,2011.0,2008.0,2022.0,4.0,4.0,2008.0,2008-2023,94,1,25.0,"hip hop, pop rap, west coast hip hop, trap, ratchet music",2008.0,,,0,Hip Hop/Rap,1,"['dance pop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","Hip Hop/Rap, Pop","Hip Hop/Rap, Pop",,203200.0,0.0373,0.929,0.339,1.96e-05,0.187,-10.881,0.371,98.986,0.273,1.0,1.0,0.0037361923326835,4742.028571428397,0.0035259759493122,0.0698199149573454,3698.5,1.0
tyga & kevin mccall,,,,Tyga & Kevin McCall,2010.0,2010.0,2010.0,1.0,1.0,2010.0,2010-2010,14,27,,,2010.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,0.0
tyla,164856.0,2bf761c6-4bcf-4cfc-a388-8fcb2eea8cc8,,Tyla,2023.0,2023.0,2025.0,1.0,1.0,2023.0,2023-2025,7,29,29.0,"amapiano, pop, afrobeats, r&b, contemporary r&b",2023.0,,,0,"Pop, R&B/Soul/Funk, World Music",3,,,"Pop, R&B/Soul/Funk, World Music",,,,,,,,,,,,,,,,,,,0.0
tyla yaweh,1297770.0,69866ffc-221a-4638-aabb-c3cee1f4b3bc,1MXZ0hsGic96dWRDKwAwdr,Tyla Yaweh,,2020.0,2020.0,,,2020.0,2020-2020,65,2,,,2020.0,,,0,,0,"['cali rap', 'melodic rap', 'pop rap', 'rap', 'trap']",Hip Hop/Rap,Hip Hop/Rap,,,,,,,,,,,,,,,,,,,
tyler carter,1037817.0,8bb69a5f-7dbb-45ab-8d92-19930255e311,4VCAHkdzvJBHJAcPyvWY5s,Tyler Carter,,,,,,,2015-2015,0,0,,,,,,0,,0,['modern alternative pop'],,,,,,,,,,,,,,,,,,,,,
tyler childers,1470867.0,9947e874-ddd0-4e1a-b0d4-a76f6532fe45,,Tyler Childers,,2023.0,2023.0,,,2023.0,2017-2025,43,10,,"americana, country, alternative country",2023.0,,,0,Country/Americana,1,,,Country/Americana,,,,,,,,,,,,,,,,,,,
tyler cole,2826532.0,4a751acb-ad70-4c07-ba72-1add18c62465,,Tyler Cole,,2021.0,2021.0,,,2021.0,2021-2021,21,26,,,2021.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
tyler collins,50852.0,a46cb0ac-3e57-42bd-b9e0-7616427f65fe,,Tyler Collins,1990.0,1990.0,1995.0,1.0,2.0,1990.0,1990-1995,6,21,21.0,"ballad, quiet storm, new jack swing, pop soul, contemporary r&b",1990.0,,,0,"Pop, R&B/Soul/Funk",2,,,"Pop, R&B/Soul/Funk","Electronic/Dance, Pop, R&B/Soul/Funk",,,,,,,,,,,,,0.000311429461227,1.0,0.0,2.2192827913991064e-44,,0.0
tyler farr,854689.0,0a623782-931b-4f2d-8d8b-e8bfc8b95cda,,Tyler Farr,,2013.0,2015.0,,,2013.0,2013-2015,29,20,,country,2013.0,,,0,Country/Americana,1,,,Country/Americana,,,,,,,,,,,,,,,,,,,
tyler hilton,201945.0,4ce300da-25fb-407a-9b6d-f2754f069f8e,,Tyler Hilton,,,,,,,2012-2012,0,0,,"folk, indie rock",,,,0,"Folk, Rock",2,,,"Folk, Rock",,,,,,,,,,,,,,,,,,,
tyler hubbard,1027837.0,a0b0b576-d6bc-445d-b9db-70893547a4e1,,Tyler Hubbard,,2021.0,2025.0,,,2021.0,2021-2025,76,2,,country,2021.0,,,0,Country/Americana,1,,,Country/Americana,,,,,,,,,,,,,,,,,,,
tyler ward,767824.0,21462e8d-d20b-4049-bcbd-57e0a4b9be5c,,Tyler Ward,,,,,,,2012-2012,0,0,,country pop,,,,0,Country/Americana,1,,,Country/Americana,,,,,,,,,,,,,,,,,,,
"tyler, the creator",767971.0,f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",2019.0,2017.0,2025.0,3.0,10.0,2017.0,2011-2025,87,1,15.0,"hip hop, hardcore hip hop, horrorcore, west coast hip hop",2017.0,,,0,Hip Hop/Rap,1,"['hip hop', 'rap']",Hip Hop/Rap,Hip Hop/Rap,"Hip Hop/Rap, Pop, Rock",190067.0,0.23,0.554,0.498,5.98e-06,0.795,-8.866,0.0685,79.635,0.413,1.0,1.0,0.0016252821670428,4990.795346319996,0.0024950716727675,0.0141336141791352,1123.5,1.0
tynetta hare,677719.0,42f69642-c19f-41f7-88a7-0ea52925019b,,Tynetta Hare,,1990.0,1990.0,,,1990.0,1990-1990,66,8,,,1990.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
type o negative,1016.0,a63df8c3-28e4-41db-bac2-c6c6e8ff8f28,0blJzvevdXrp21YeI2vbco,Type O Negative,,,,,,,1995-2007,0,0,,"gothic metal, doom metal, heavy metal, metal",,,,0,Metal,1,"['alternative metal', 'gothic metal', 'industrial metal', 'industrial rock', 'metal', 'nu metal', 'rock']","Metal, Rock","Metal, Rock",,,,,,,,,,,,,,,,,,,
typhoon,1501444.0,b0d1b179-5701-4b3d-b4f4-9f9e8fb908c5,,Typhoon,,,,,,,2013-2018,0,0,,"trance, electronic",,,,0,Electronic/Dance,1,,,Electronic/Dance,,,,,,,,,,,,,,,,,,,
tyrannosaurus rex,,,,Tyrannosaurus Rex,,1971.0,1971.0,,,1971.0,1971-1971,76,6,,,1971.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
tyrese,20620.0,975d94b4-7ca8-4eec-ae48-1aa4660995d3,08p7B5OtcUuVblvkQIlBhJ,Tyrese,1999.0,1998.0,2006.0,2.0,3.0,1998.0,1998-2015,36,15,25.0,contemporary r&b,1998.0,"pop, funk, soul, contemporary r&b, r&b, hip hop, east coast hip hop","Hip Hop/Rap, Pop, R&B/Soul/Funk",3,R&B/Soul/Funk,1,"['contemporary r&b', 'hip hop', 'hip pop', 'neo soul', 'pop r&b', 'quiet storm', 'r&b', 'urban contemporary']","Hip Hop/Rap, R&B/Soul/Funk","Hip Hop/Rap, R&B/Soul/Funk",R&B/Soul/Funk,290600.0,0.233,0.588,0.522,0.0,0.24,-6.254,0.0383,66.024,0.584,0.0,0.0,0.0006435006435006,1676.909271284327,4.881247400881333e-05,0.0006507471004902,315.0,1.0
tyrese & mr. tan,,,,Tyrese & Mr. Tan,,2001.0,2001.0,,,2001.0,2001-2001,90,4,,,2001.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
tyrese (aka black-ty),,,,Tyrese (AKA Black-Ty),,,,,,,2006-2006,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
tyrone davis,38354.0,c48ab37a-e9ee-491c-b370-e4cb8061ebb7,,Tyrone Davis,1968.0,1968.0,1982.0,1.0,1.0,1968.0,1968-1983,5,13,13.0,"soul, chicago soul, smooth soul, r&b",1968.0,,,0,R&B/Soul/Funk,1,,,R&B/Soul/Funk,,177733.0,0.314,0.545,0.669,0.0,0.0553,-6.239,0.0456,102.041,0.886,0.0,0.0,,,,,,1.0
tyrone wells,310493.0,d576231e-c0b6-4a42-a4f4-011f06b9095c,,Tyrone Wells,,,,,,,2012-2012,0,0,,folk,,,,0,Folk,1,,,Folk,,,,,,,,,,,,,,,,,,,
tyson james & chandler crump,,,,Tyson James & Chandler Crump,,2021.0,2021.0,,,2021.0,2021-2021,28,2,,,2021.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
tyzik,936497.0,71f09892-54e9-4652-9505-4df07d141acb,,Tyzik,,,,,,,1984-1984,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
tzuyu,1309393.0,468eaa07-e991-4c9e-bff2-f84be07c290d,,TZUYU,,,,,,,2024-2024,0,0,,k-pop,,,,0,Pop,1,,,Pop,,,,,,,,,,,,,,,,,,,
u,1481278.0,e7746417-0343-4f49-b5ad-842870250ede,,U,,,,,,,1968-1968,0,0,,"opera, rock, electronic, alternative rock, hard rock, post-rock, heavy metal, hard rock, post-rock",,,,0,"Classical, Electronic/Dance, Metal, Rock",4,,,"Classical, Electronic/Dance, Metal, Rock",,,,,,,,,,,,,,,,,,,
u-god,,,,U-God,,,,,,,1999-1999,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
u.n.v.,141712.0,658b03d7-bc8c-445c-be3c-254317e0c6b7,,U.N.V.,,1993.0,1995.0,,,1993.0,1993-1995,29,20,,"quiet storm, pop soul, contemporary r&b",1993.0,,,0,"Pop, R&B/Soul/Funk",2,,,"Pop, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
u.s. 1,2834767.0,10aef5fb-9c3f-4f64-8ccc-605386164d8c,,U.S. 1,,1975.0,1975.0,,,1975.0,1975-1975,91,2,,,1975.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
u.s. bonds,,,,U.S. Bonds,1960.0,1960.0,1961.0,1.0,1.0,1960.0,1960-1961,6,14,,,1960.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,1.0
u2,197.0,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,51Blml2LZPmy7TTiAg47vQ,U2,1987.0,1983.0,2017.0,5.0,7.0,1983.0,1981-2023,53,12,17.0,"alternative rock, rock, post-punk, pop rock, alternative dance, electronic",1983.0,,,0,"Electronic/Dance, Pop, Punk/Hardcore, Rock",4,"['irish rock', 'permanent wave', 'rock']",Rock,"Electronic/Dance, Pop, Punk/Hardcore, Rock","Pop, Rock",277477.0,0.0135,0.564,0.774,0.00191,0.0861,-9.424,0.0368,100.894,0.657,1.0,0.0,0.000912408759124,149.6644216894223,0.001859492604561,5.376564008858287e-07,92.0,1.0
ub40,532.0,7113aab7-628f-4050-ae49-dbecac110ca8,69MEO1AADKg1IZrq2XLzo5,UB40,1984.0,1984.0,1993.0,1.0,1.0,1984.0,1983-1997,1,40,40.0,"reggae, pop, reggae, dub, roots reggae, reggae-pop",1984.0,,,0,"Pop, Reggae/Caribbean",2,"['reggae', 'reggae fusion', 'uk reggae']",Reggae/Caribbean,"Pop, Reggae/Caribbean","Blues, Classical, Country/Americana, Easy Listening/Vocal, Electronic/Dance, Experimental/Avant-Garde, Folk, Hip Hop/Rap, Jazz, Latin, Metal, Pop, Punk/Hardcore, R&B/Soul/Funk, Reggae/Caribbean, Rock, World Music",183733.0,0.00414,0.857,0.468,1.32e-05,0.269,-8.53,0.0476,89.119,0.843,1.0,0.0,,,,,,1.0
ubiquity,2524875.0,64a116e3-d7d1-4a36-91a1-60e56b3fcd38,,Ubiquity,,,,,,,1978-1978,0,0,,"jazz-funk, jazz, funk, disco, pop soul, progressive metal, death metal",,,,0,"Electronic/Dance, Jazz, Metal, Pop, R&B/Soul/Funk",5,,,"Electronic/Dance, Jazz, Metal, Pop, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
ufo,1552902.0,77de20d1-6211-4e14-80c1-9b1aecba235c,,UFO,,,,,,,1975-1986,0,0,,"hard rock, space rock, jazz, stoner metal, rock, heavy metal, rock, classic rock, progressive rock",,,,0,"Jazz, Metal, Rock",3,,,"Jazz, Metal, Rock",,,,,,,,,,,,,,,,,,,
ugk,304175.0,9603810b-5d6d-41a6-aca8-330ef966d55c,6ZhjJOJXXwnPS8PrXdmjLw,UGK,2000.0,2000.0,2007.0,1.0,1.0,2000.0,1994-2009,18,20,20.0,"dirty south, southern hip hop, gangsta rap, hip hop, chopped and screwed, trap",2000.0,,,0,Hip Hop/Rap,1,"['dirty south rap', 'gangster rap', 'hip hop', 'houston rap', 'rap', 'southern hip hop', 'trap']",Hip Hop/Rap,Hip Hop/Rap,,283067.0,0.168,0.88,0.814,0.00672,0.0584,-6.307,0.14,138.083,0.942,0.0,1.0,0.0026553894571203,1939.7195526695868,0.0027669897661867,0.0009223640961781,1032.0,0.0
ugly god,1391589.0,4bafe97c-81d4-4a8e-b54b-7f6e60ea7abe,,Ugly God,,2017.0,2018.0,,,2017.0,2017-2019,80,4,,,2017.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
ugly kid joe,9164.0,91f32a6b-fc11-45b6-a243-4dd90eaee781,3XsgWn63EnA4wYZBjVyxjf,Ugly Kid Joe,1992.0,1992.0,1993.0,1.0,1.0,1992.0,1992-1995,9,20,20.0,"alternative rock, hard rock, alternative metal, grunge, funk metal, glam metal",1992.0,,,0,"Metal, Rock",2,"['funk metal', 'funk rock', 'glam metal', 'hard rock', 'rock']","Metal, Rock","Metal, Rock",,260200.0,0.00936,0.522,0.79,0.0,0.0881,-7.943,0.0627,122.585,0.743,1.0,1.0,0.0002365744026496,477.5820568320648,0.0,0.0002218286400555,100.0,1.0
uk,1922481.0,fc12de5e-3080-44d5-b39f-fc14ef4e780d,,Uk,,,,,,,1978-1979,0,0,,"black metal, black metal, drum and bass, drum and bass, gothic rock, drum and bass, soul, synthwave, jazz, city pop",,,,0,"Electronic/Dance, Jazz, Metal, R&B/Soul/Funk, Rock",5,,,"Electronic/Dance, Jazz, Metal, R&B/Soul/Funk, Rock",,,,,,,,,,,,,,,,,,,
ultimate,1797335.0,7e2d4f45-d834-4c22-9eb9-ce6d44e35b50,,Ultimate,,1979.0,1979.0,,,1979.0,1968-1979,82,3,,"electro-industrial, hard trance, disco, electronic, edm, power metal, symphonic metal, post-punk",1979.0,,,0,"Electronic/Dance, Metal, Punk/Hardcore",3,,,"Electronic/Dance, Metal, Punk/Hardcore",,,,,,,,,,,,,,,,,,,
ultra nate,38874.0,0004537a-4b12-43eb-a023-04009e738d2e,1cK2Abwkni7m51wJCSGllN,Ultra Nate,,1997.0,1997.0,,,1997.0,1997-1997,75,19,,,1997.0,,,0,,0,"['classic house', 'deep house', 'disco house', 'diva house', 'garage house', 'hip house', 'vocal house']",Electronic/Dance,Electronic/Dance,,,,,,,,,,,,,,,,,,,
ultravox,1820.0,7e786a4c-c743-4713-9340-a6f12d8515d4,3iUjRVvYCsMfz7tuAQtBDI,Ultravox,,1983.0,1983.0,,,1983.0,1980-1984,71,5,,"new wave, new romantic, post-punk, synth-pop, pop rock, art rock",1983.0,,,0,"Experimental/Avant-Garde, Pop, Punk/Hardcore",3,"['art rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop', 'zolo']","Experimental/Avant-Garde, Pop","Experimental/Avant-Garde, Pop, Punk/Hardcore",,,,,,,,,,,,,,,,,,,
umphrey's mcgee,,,,Umphrey's McGee,,,,,,,2006-2014,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
uncle acid,,,,Uncle Acid,,,,,,,2015-2015,0,0,,"stoner rock, heavy psych, doom metal, psychedelic rock, traditional doom metal, psychedelic",,,,0,"Metal, Rock",2,,,"Metal, Rock",,,,,,,,,,,,,,,,,,,
uncle dog,1886150.0,57fe091e-47c9-4c5f-b3cd-ccf47b35df12,,Uncle Dog,,1973.0,1973.0,,,1973.0,1973-1973,86,7,,,1973.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
uncle kade,,,,Uncle Kade,,2017.0,2017.0,,,2017.0,2017-2017,86,1,,,2017.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
uncle kracker,1961.0,1a02e1e4-000e-46fa-83de-f3a36674e4fc,,Uncle Kracker,2001.0,2001.0,2009.0,1.0,1.0,2001.0,2000-2010,5,33,33.0,"country rock, rap rock, rock, country, country pop, pop rock",2001.0,,,0,"Country/Americana, Pop, Rock",3,,,"Country/Americana, Pop, Rock",,218440.0,0.439,0.817,0.585,0.0,0.147,-4.688,0.0301,105.014,0.916,1.0,1.0,9.27643784786642e-05,1515.086951937028,0.0,0.000163767445574,,1.0
uncle luke,,,,Uncle Luke,,,,,,,2001-2001,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
uncle sam,2411104.0,8627bf0b-12dc-49e6-8eaf-7dd489ace62d,,Uncle Sam,1997.0,1997.0,1997.0,1.0,1.0,1997.0,1997-1998,6,28,28.0,,1997.0,,,0,,0,,,,,345133.0,0.38,0.607,0.497,0.0,0.0681,-7.017,0.0374,125.951,0.407,1.0,0.0,,,,,,0.0
uncle tupelo,12413.0,95c043f1-0bdd-403a-b714-663908d7e4fc,2Plkkomsc4DKawkCioLKjc,Uncle Tupelo,,,,,,,2002-2002,0,0,,folk,,,,0,Folk,1,"['alternative country', 'alternative rock', 'country rock', 'folk', 'heartland rock', 'indie folk', 'new americana', 'roots rock']","Country/Americana, Folk, Rock","Country/Americana, Folk, Rock",,,,,,,,,,,,,,,,,,,
under the influence of giants,368329.0,438cc576-8c12-415a-9ac9-fdedbcb18d5e,,Under The Influence Of Giants,,,,,,,2006-2006,0,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
underground sunshine,229109.0,7b012bed-ef3d-436b-9f27-9615a6256627,,Underground Sunshine,,1969.0,1969.0,,,1969.0,1969-1969,26,10,,,1969.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
underoath,39227.0,674a7e8c-9682-419a-8e05-2358e28b5359,3GzWhE2xadJiW8MqRKIVSK,Underoath,,,,,,,2004-2022,0,0,,"metalcore, melodic metalcore, metal, christian metal, deathcore",,metalcore,Metal,1,Metal,1,"['christian metal', 'christian metalcore', 'melodic metalcore', 'metalcore', 'pop punk', 'screamo', 'tampa indie']","Metal, Punk/Hardcore","Metal, Punk/Hardcore",,,,,,,,,,,,,,,,,,,
underworld,923.0,ba2f4f3b-0293-4bc8-bb94-2f73b5207343,1PXHzxRDiLnjqNrRn2Xbsa,Underworld,,1988.0,1989.0,,,1988.0,1988-2016,74,8,,"electronic, progressive house, techno, new wave, electronic, alternative rock, alternative rock, folk, rock, jazz",1988.0,,,0,"Electronic/Dance, Folk, Jazz, Pop, Rock",5,"['alternative dance', 'big beat', 'electronica']",Electronic/Dance,"Electronic/Dance, Folk, Jazz, Pop, Rock",,,,,,,,,,,,,,,,,,,
unearth,64632.0,9f336c50-ae4c-4440-bda7-958aa12bc15a,,Unearth,,,,,,,2004-2014,0,0,,"metalcore, melodic metalcore, melodic death metal, metal, metal, doom metal, progressive, sludge metal",,,,0,"Metal, Rock",2,,,"Metal, Rock",,,,,,,,,,,,,,,,,,,
unicorn,400679.0,c17c2452-9302-4fa8-8ac6-7e7dd837ed2a,,Unicorn,,,,,,,1974-1974,0,0,,"trip hop, downtempo, jazz, indie pop, electro swing, indie pop, acid jazz, steampunk, chillout",,,,0,"Electronic/Dance, Jazz, Pop, Rock",4,,,"Electronic/Dance, Jazz, Pop, Rock",,,,,,,,,,,,,,,,,,,
unipop,2834906.0,23c82168-4611-44ea-8af7-3ddcf189d4fd,,Unipop,,1982.0,1982.0,,,1982.0,1982-1982,71,8,,,1982.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
unit four plus two,,,,Unit Four plus Two,,1965.0,1965.0,,,1965.0,1965-1965,28,9,,,1965.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
united pursuit,1509239.0,8e7ea4ec-3e72-4467-8189-934d9a44d80b,4YCpRzudpG6AeE0IvCjiGo,United Pursuit,,,,,,,2015-2015,0,0,,contemporary christian,,,,0,Gospel/Christian/Religious,1,"['anthem worship', 'ccm', 'deep ccm', 'world worship', 'worship']",,Gospel/Christian/Religious,,,,,,,,,,,,,,,,,,,
universal robot band,,,,Universal Robot Band,,1977.0,1977.0,,,1977.0,1977-1977,93,6,,,1977.0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,
unk,1957070.0,a6a5cc7d-a1f2-4823-8457-d1b68ea52978,,Unk,2006.0,2006.0,2007.0,1.0,1.0,2006.0,2006-2008,10,36,36.0,"electronic, folk rock, house, french house, rock, hip hop",2006.0,hip hop,Hip Hop/Rap,1,"Electronic/Dance, Hip Hop/Rap, Rock",3,,,"Electronic/Dance, Hip Hop/Rap, Rock",,173040.0,0.0982,0.794,0.777,0.0,0.202,-3.696,0.0813,160.022,0.706,0.0,1.0,,,,,,0.0
unkle,2869.0,6648391e-7890-4f6c-b939-976f215195d3,2nszamLjZFgu3Yx77mKxuC,UNKLE,,,,,,,1998-1998,0,0,,"electronic, electronica, electronic, trip hop, downtempo, techno, alternative rock",,,,0,"Electronic/Dance, Rock",2,"['alternative dance', 'big beat', 'electronica', 'ninja', 'nu jazz', 'trip hop']",Electronic/Dance,"Electronic/Dance, Rock",,,,,,,,,,,,,,,,,,,
unknown mortal orchestra,772533.0,e2305342-0bde-4a2c-aed0-4b88694834de,,Unknown Mortal Orchestra,,,,,,,2013-2018,0,0,,"indie rock, psychedelic rock, lo-fi, garage rock, psychedelic, psychedelic pop",,,,0,"Pop, Rock",2,,,"Pop, Rock",,,,,,,,,,,,,,,,,,,
unlimited touch,75083.0,8849456e-97d8-4105-8ff4-3309d868786d,,Unlimited Touch,,,,,,,1981-1981,0,0,,"funk, disco, r&b",,,,0,"Electronic/Dance, R&B/Soul/Funk",2,,,"Electronic/Dance, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
unspoken,356432.0,ecb8da54-071b-4427-a9bd-5d0738f1f303,,Unspoken,,,,,,,2014-2014,0,0,,"bluegrass, pop rock, blue-eyed soul, psychedelic folk, soul, contemporary christian",,,,0,"Country/Americana, Folk, Gospel/Christian/Religious, Pop, R&B/Soul/Funk",5,,,"Country/Americana, Folk, Gospel/Christian/Religious, Pop, R&B/Soul/Funk",,,,,,,,,,,,,,,,,,,
unwritten law,2055420.0,d21116da-409b-44a0-ad8c-45f5971b47e6,,Unwritten Law,,,,,,,2002-2011,0,0,,punk,,,,0,Punk/Hardcore,1,,,Punk/Hardcore,,,,,,,,,,,,,,,,,,,
upchurch,1385352.0,513602fe-202a-4583-afb9-2a2aca8af55b,,Upchurch,,,,,,,2017-2022,0,0,,"country rap, jazz, jazz fusion, contemporary jazz, soul jazz, jazz, hip hop",,,,0,"Hip Hop/Rap, Jazz",2,,,"Hip Hop/Rap, Jazz",,,,,,,,,,,,,,,,,,,
upon a burning body,802612.0,3df17d31-f9a4-4ca4-8570-c7d70c362b04,,Upon A Burning Body,,,,,,,2012-2014,0,0,,"deathcore, metalcore, death metal",,,,0,Metal,1,,,Metal,,,,,,,,,,,,,,,,,,,
uptown,96429.0,6906dde7-456d-4008-9f13-ca9db741d610,,Uptown,,1986.0,1986.0,,,1986.0,1986-1986,80,11,,"hip hop, ambient, jazz, hip hop, gangsta rap",1986.0,,,0,"Electronic/Dance, Hip Hop/Rap, Jazz",3,,,"Electronic/Dance, Hip Hop/Rap, Jazz",,,,,,,,,,,,,,,,,,,
urban dance squad,32435.0,770b04ac-7075-4a39-ab37-dd2885b21e2f,,Urban Dance Squad,,1990.0,1990.0,,,1990.0,1990-1990,21,18,,"rap rock, hip hop",1990.0,,,0,"Hip Hop/Rap, Rock",2,,,"Hip Hop/Rap, Rock",,,,,,,,,,,,,,,,,,,
urge overkill,10152.0,120e728a-4078-47b7-a31c-d581ade28bde,,Urge Overkill,,1994.0,1994.0,,,1994.0,1993-1995,59,11,,"hard rock, alternative rock, rock, power pop, pop rock, punk rock",1994.0,,,0,"Pop, Punk/Hardcore, Rock",3,,,"Pop, Punk/Hardcore, Rock",,,,,,,,,,,,,,,,,,,
urgent,64324.0,fa905f1a-80f4-4f17-844f-6b9e09836c9a,,Urgent,,1985.0,1985.0,,,1985.0,1985-1985,79,5,,"jazz, punk, progressive metal, metal, death metal, progressive, indie pop",1985.0,,,0,"Jazz, Metal, Pop, Punk/Hardcore, Rock",5,,,"Jazz, Metal, Pop, Punk/Hardcore, Rock",,,,,,,,,,,,,,,,,,,
uriah heep,3528.0,f1548c5b-329e-4036-921c-02213a04b525,45O9BwPMyywM755SYUK0sP,Uriah Heep,,1972.0,1973.0,,,1972.0,1970-1983,39,12,,"hard rock, progressive rock, rock, heavy metal, classic rock, acoustic rock",1972.0,,,0,"Metal, Rock",2,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']","Experimental/Avant-Garde, Metal, Rock","Experimental/Avant-Garde, Metal, Rock",,,,,,,,,,,,,,,,,,,
us3,11443.0,b370defd-86cc-42f3-85b4-7c2a8305c04a,,US3,1993.0,1993.0,1993.0,1.0,1.0,1993.0,1993-1994,9,27,27.0,"jazz, hip hop, acid jazz, post-metal, alternative rock, electronica, synth-pop, electropop, indie pop",1993.0,,,0,"Electronic/Dance, Hip Hop/Rap, Jazz, Metal, Pop, Rock",6,,,"Electronic/Dance, Hip Hop/Rap, Jazz, Metal, Pop, Rock",,279360.0,0.107,0.852,0.655,2.07e-05,0.137,-11.498,0.0645,115.962,0.952,0.0,0.0,0.0010566356720202,5.0,1.6909744240118368e-06,2.765973128644693e-20,,0.0
